Geneid	Chr	Start	End	Strand	Length	C7H8_ES_d10r1	C7H8_ES_d10r2	C7H8_ES_d10r3
Nudt11	chrX	6047506	6054751	+	7246	0.153846153846154	0.153846153846154	0.363636363636364
Shroom4	chrX	6400144	6633717	+	233574	0.104444444444444	0.0956130483689539	0.0771604938271605
Dgkk	chrX	6873483	6948363	+	74881	0.0416666666666667	0.0943396226415094	0.0512820512820513
Clcn5	chrX;chrX	7158411;7158411	7319358;7188714	-;-	160948	0.122257053291536	0.139386189258312	0.134708737864078
2010204K13Rik	chrX;chrX	7411816;7412103	7422988;7421047	-;-	11173	0.0967741935483871	0.0731707317073171	0.137254901960784
Ppp1r3f	chrX;chrX	7558561;7558561	7574281;7574281	-;-	15721	0.150943396226415	0.21	0.261363636363636
Ccdc22	chrX	7593808	7605420	-	11613	0.175824175824176	0.145454545454545	0.158620689655172
Plp2	chrX	7668115	7671278	-	3164	0.127272727272727	0.154228855721393	0.117647058823529
Gpkow	chrX	7697133	7710259	+	13127	0.26890756302521	0.299363057324841	0.283236994219653
Wdr45	chrX;chrX;chrX;chrX	7722219;7722219;7722219;7722926	7728201;7728201;7728201;7728201	+;+;+;+	5983	0.118226600985222	0.178125	0.138107416879795
Praf2	chrX	7728570	7731063	+	2494	0.2	0.0769230769230769	0.214285714285714
Ccdc120	chrX	7731713	7741324	-	9612	0.2	0.173913043478261	0.135135135135135
Tfe3	chrX;chrX;chrX;chrX;chrX;chrX	7762660;7762660;7762660;7762660;7763942;7764040	7775202;7775202;7775202;7775202;7775202;7775202	+;+;+;+;+;+	12543	0.230452674897119	0.233062330623306	0.216763005780347
Gripap1	chrX;chrX	7789992;7789992	7820567;7820567	+;+	30576	0.284722222222222	0.314465408805031	0.225
Kcnd1	chrX	7823842	7836503	+	12662	0.153846153846154	0.272727272727273	0.172413793103448
Otud5	chrX;chrX;chrX	7841830;7841830;7842081	7876626;7876626;7876626	+;+;+	34797	0.311188811188811	0.322834645669291	0.286713286713287
Pim2	chrX	7878305	7883432	+	5128	0.119047619047619	0.287878787878788	0.314285714285714
Slc35a2	chrX;chrX	7884243;7884243	7894492;7894027	+;+	10250	0.379310344827586	0.235294117647059	0.377777777777778
Pqbp1	chrX;chrX;chrX	7894518;7894518;7894518	7899269;7899000;7899000	-;-;-	4752	0.285714285714286	0.25	0.275862068965517
Timm17b	chrX	7899397	7907652	+	8256	0.263157894736842	0.32	0.235294117647059
Hdac6	chrX;chrX	7930121;7930121	7947889;7947889	-;-	17769	0.330666666666667	0.335483870967742	0.306493506493506
Suv39h1	chrX;chrX	8061170;8061170	8074760;8074313	-;-	13591	0.431034482758621	0.415384615384615	0.41304347826087
Wdr13	chrX;chrX;chrX;chrX	8123300;8123300;8123300;8123300	8132847;8132858;8132858;8132858	-;-;-;-	9559	0.263157894736842	0.318181818181818	0.216417910447761
Rbm3	chrX;chrX;chrX;chrX	8138974;8142355;8142355;8142355	8145802;8145802;8145802;8145802	-;-;-;-	6829	0.297849462365591	0.313333333333333	0.31011826544021
Tbc1d25	chrX;chrX	8154471;8154471	8176181;8176181	-;-	21711	0.421052631578947	0.412162162162162	0.328042328042328
Ebp	chrX	8185330	8193512	-	8183	0.555555555555556	0.333333333333333	0.430379746835443
Porcn	chrX;chrX;chrX;chrX	8193849;8193849;8193849;8193849	8206525;8206525;8206525;8206525	-;-;-;-	12677	0.300813008130081	0.289308176100629	0.280821917808219
Ftsj1	chrX;chrX	8238667;8238667	8252406;8252406	-;-	13740	0.387096774193548	0.298387096774194	0.27027027027027
Lancl3	chrX	9199972	9268085	+	68114	0.203703703703704	0.263157894736842	0.0983606557377049
Xk	chrX	9272783	9313245	+	40463	0.173728813559322	0.210691823899371	0.158333333333333
Sytl5	chrX;chrX	9885620;9885620	9998864;9998864	+;+	113245	0.153846153846154	0.1	0.113207547169811
Rpgr	chrX;chrX;chrX;chrX;chrX;chrX	10158215;10158215;10158215;10160608;10180965;10207000	10216453;10216795;10216795;10216795;10216795;10216795	-;-;-;-;-;-	58581	0.382180539273154	0.38038038038038	0.366403607666291
Tspan7	chrX	10485115	10596604	+	111490	0.072192513368984	0.0576923076923077	0.0494791666666667
Bcor	chrX;chrX;chrX;chrX;chrX	12036737;12036737;12036737;12036737;12036737	12160355;12080553;12080553;12080553;12080553	-;-;-;-;-	123619	0.245977011494253	0.206896551724138	0.227598566308244
Atp6ap2	chrX	12587758	12617051	+	29294	0.259259259259259	0.24653312788906	0.227533460803059
1810030O07Rik	chrX	12654883	12673546	-	18664	0.150501672240803	0.169014084507042	0.158924205378973
Med14	chrX;chrX	12675370;12679743	12761973;12761973	-;-	86604	0.168148148148148	0.159286186384666	0.143703703703704
Gm14634	chrX	12762277	12821492	+	59216	0.205882352941176	0.171428571428571	0.185567010309278
5730405O15Rik	chrX	13042014	13045295	+	3282	0.173913043478261	0.191489361702128	0.118421052631579
Usp9x	chrX	13071497	13173327	+	101831	0.224625870499333	0.219173890872004	0.183844011142061
Ddx3x	chrX	13281021	13293983	+	12963	0.311427170181461	0.337429111531191	0.270017793594306
Cask	chrX;chrX;chrX;chrX	13517080;13517080;13517080;13517080	13846556;13846556;13846556;13846556	-;-;-;-	329477	0.125528913963329	0.147022332506203	0.122648083623693
Maoa	chrX	16619697	16687812	+	68116	0.106203995793901	0.138044371405094	0.116122840690979
Efhc2	chrX	17132048	17319368	-	187321	0.0625	0.0128205128205128	0.0169491525423729
Fundc1	chrX	17556568	17572297	-	15730	0.13	0.168831168831169	0.102941176470588
Kdm6a	chrX	18162666	18279358	+	116693	0.396161281413974	0.381191908146528	0.388584282300014
Chst7	chrX	20059569	20097520	+	37952	0.24390243902439	0.203703703703704	0.0789473684210526
Slc9a7	chrX	20105754	20291764	-	186011	0.132352941176471	0.138528138528139	0.174545454545455
Rp2h	chrX;chrX;chrX;chrX;chrX	20364480;20364480;20364480;20364480;20364480	20400858;20405653;20405653;20400858;20400858	+;+;+;+;+	41174	0.143518518518519	0.135869565217391	0.141914191419142
Jade3	chrX;chrX	20425687;20425687	20519939;20519939	+;+	94253	0.0694864048338369	0.0653669724770642	0.0752565564424173
Ndufb11	chrX	20615325	20617564	-	2240	0.215686274509804	0.416666666666667	0.363636363636364
Rbm10	chrX;chrX;chrX	20617502;20617758;20617758	20650905;20650905;20650905	+;+;+	33404	0.287581699346405	0.261538461538462	0.257575757575758
Uba1	chrX;chrX;chrX;chrX	20658301;20658301;20658503;20662895	20683179;20683179;20683179;20683179	+;+;+;+	24879	0.248730964467005	0.242371403661726	0.218518518518519
Cdk16	chrX	20688492	20699877	+	11386	0.201612903225806	0.23444976076555	0.237623762376238
Usp11	chrX	20703908	20720539	+	16632	0.14404432132964	0.15650406504065	0.117486338797814
Araf	chrX;chrX	20848542;20848542	20852905;20860521	+;+	11980	0.213815789473684	0.189839572192513	0.205378973105134
Syn1	chrX;chrX	20860510;20860510	20920918;20920918	-;-	60409	0.129411764705882	0.0315789473684211	0.0388349514563107
