Peakid	Chr	Start	End	Strand	Length	NPC_0d	NPC_1d	NPC_3d	NPC_6d	NPC_17d
peak_2	chrX	3289987	3290414	+	428	0.402091503267974	0.244505494505494	0.342857142857143	0.468864468864469	0.0889328063241107
peak_5	chrX	3849155	3849508	+	354	0.205263157894737	0.246153846153846	0.270833333333333	0.125	0.125798212005109
peak_18	chrX	5435461	5436561	+	1101	0.412056334470128	0.416483516483517	0.234208367514356	0.236429872495446	0.160618279569892
peak_19	chrX	5467922	5468776	+	855	0.464561403508772	0.327445652173913	0.442307692307692	0.358974358974359	0.155555555555556
peak_23	chrX	6047740	6048670	+	931	0.352564102564103	0.477718360071301	0.285714285714286	0.292220113851992	0.162337662337662
peak_24	chrX	6082883	6083648	+	766	0.555229716520039	0.352396972245585	0.19017094017094	0.357142857142857	0.0333333333333333
peak_25	chrX	6091813	6092762	+	950	0.526993364174918	0.471364109684137	0.382949519597377	0.335702033815241	0.10875402792696
peak_26	chrX	6172007	6172996	+	990	0.527699968876439	0.563492063492063	0.335648148148148	0.514354066985646	0.166666666666667
peak_27	chrX	6173362	6173895	+	534	0.753639846743295	0.552631578947368	0.495238095238095	0.658333333333333	0.111111111111111
peak_31	chrX	6399393	6400999	+	1607	0.482248110394563	0.601364522417154	0.366666666666667	0.493055555555556	0.104651162790698
peak_37	chrX	6778336	6778645	+	310	0.507142857142857	0.341666666666667	0.301587301587302	0.112394957983193	0.0592307692307692
peak_40	chrX	7188289	7188777	+	489	0.499721874565429	0.330654101995565	0.20625	0.0896584440227704	0.028978978978979
peak_42	chrX	7249327	7249649	+	323	0.718363393819783	0.613636363636364	0.491596638655462	0.268181818181818	0.290909090909091
peak_43	chrX	7306902	7307393	+	492	0.278077622801698	0.175324675324675	0.124529592884023	0.0734126984126984	0.0377358490566038
peak_44	chrX	7318428	7319701	+	1274	0.480211991469027	0.372175141242938	0.31424375917768	0.26847050295528	0.0786718939455177
peak_46	chrX	7375331	7376801	+	1471	0.565555555555556	0.308235294117647	0.291666666666667	0.18082788671024	0.225757575757576
peak_48	chrX	7420978	7421483	+	506	0.583780896280896	0.340041279669763	0.281081081081081	0.232352941176471	0.0740909090909091
peak_50	chrX	7428725	7430075	+	1351	0.50958892056453	0.368538324420677	0.292124155405405	0.194266055045872	0.0804260574251312
peak_53	chrX	7563117	7563363	+	247	0.501388888888889	0.279166666666667	0.0982142857142857	0.145454545454545	0.0608333333333333
peak_54	chrX	7573104	7575315	+	2212	0.5710433244916	0.372809762202753	0.356791569086651	0.183386030468525	0.0335013064576334
peak_57	chrX	7610130	7611220	+	1091	0.550717256599609	0.443722943722944	0.338383838383838	0.123949579831933	0.1875
