Geneid	Chr	Start	End	Strand	Length	0h	24h	48h	72h	120h	168h	NPC
Nudt11	chrX	6047506	6054751	+	7246	0.419413919413919	0.334392014519056	0.220415537488708	0.0950940860215054	0.0530020703933747	0	0.0625
Shroom4	chrX	6400144	6633717	+	233574	0.425468303324111	0.290070580591229	0.206365749921699	0.102082312961028	0.0272665511607388	0.0100799123097121	0.00627366169602863
Dgkk	chrX	6873483	6948363	+	74881	0.285869565217391	0.141977928692699	0.122619047619048	0.0133333333333333	0.0274771524771525	0.00819961829363116	0
Clcn5	chrX;chrX	7158411;7158411	7319358;7188714	-;-	160948	0.512587499086954	0.319171011626513	0.185117495297393	0.118132096147848	0.0452533990136045	0.0247675220819084	0.00602103328069309
2010204K13Rik	chrX;chrX	7411816;7412103	7422988;7421047	-;-	11173	0.527027027027027	0.305235137533274	0.207188160676533	0.0699381570810142	0.0486111111111111	0.032258064516129	0
Ppp1r3f	chrX;chrX	7558561;7558561	7574281;7574281	-;-	15721	0.451932485322896	0.43776057176891	0.234779299847793	0.117197685044167	0.0348037085325221	0.0148541522358193	0
Ccdc22	chrX	7593808	7605420	-	11613	0.466697191697192	0.338996763754045	0.274333800841515	0.150369797041624	0.0347859289141225	0.0182471264367816	0
Plp2	chrX	7668115	7671278	-	3164	0.505970043333821	0.317241297042324	0.241371738568845	0.0968749326958282	0.018228401220066	0.013180784156296	0.0159574468085106
Gpkow	chrX	7697133	7710259	+	13127	0.535538243499808	0.375297132454401	0.236205402282248	0.156751446058874	0.0823212747631352	0.0508168396032363	0.0245365905925212
Wdr45	chrX;chrX;chrX;chrX	7722219;7722219;7722219;7722926	7728201;7728201;7728201;7728201	+;+;+;+	5983	0.368307623905445	0.234833153148402	0.254278333871489	0.111048778221428	0.062005090648438	0.0577589526376588	0.0181818181818182
Praf2	chrX	7728570	7731063	+	2494	0.392303848075962	0.260793224540384	0.11437908496732	0.224691358024691	0.0128205128205128	0.00833333333333333	0.0384615384615385
Ccdc120	chrX	7731713	7741324	-	9612	0.513519924098672	0.367558528428094	0.194295900178253	0.114489489489489	0.0313852813852814	0.0378262514184844	0
Tfe3	chrX;chrX;chrX;chrX;chrX;chrX	7762660;7762660;7762660;7762660;7763942;7764040	7775202;7775202;7775202;7775202;7775202;7775202	+;+;+;+;+;+	12543	0.433252453534827	0.323468884041439	0.246698081370358	0.165403739218406	0.0571864211780782	0.056333736636254	0.00588235294117647
Gripap1	chrX;chrX	7789992;7789992	7820567;7820567	+;+	30576	0.500982664785325	0.390763535182041	0.299978425026969	0.186192731317045	0.0594108888989927	0.021840556447298	0.00285714285714286
Kcnd1	chrX	7823842	7836503	+	12662	0.546455938697318	0.391304347826087	0.266636141636142	0.171319102353585	0	0.0416666666666667	0
Otud5	chrX;chrX;chrX	7841830;7841830;7842081	7876626;7876626;7876626	+;+;+	34797	0.491111111111111	0.443304206462101	0.323723849634223	0.202415899792481	0.0917785249404516	0.061080320093115	0.0182274773446561
Pim2	chrX	7878305	7883432	+	5128	0.486111111111111	0.370063025210084	0.293681739333913	0.179814669685359	0.0277143581938102	0.0175438596491228	0.0333333333333333
Slc35a2	chrX;chrX	7884243;7884243	7894492;7894027	+;+	10250	0.464912280701754	0.308566433566434	0.35462962962963	0.212393882418056	0.0710658803222094	0.0196078431372549	0.0128205128205128
Pqbp1	chrX;chrX;chrX	7894518;7894518;7894518	7899269;7899000;7899000	-;-;-	4752	0.435566104078762	0.4555330634278	0.41786283891547	0.265538847117794	0.0900673400673401	0.0419341035515618	0
Timm17b	chrX	7899397	7907652	+	8256	0.575520833333333	0.374543378995434	0.31547619047619	0.210034013605442	0.121022768081592	0.0289718451483157	0
Hdac6	chrX;chrX	7930121;7930121	7947889;7947889	-;-	17769	0.566962700909525	0.458897090226417	0.321898596739434	0.208101134003683	0.0940448661036896	0.0460854070047916	0.0119760479041916
Suv39h1	chrX;chrX	8061170;8061170	8074760;8074313	-;-	13591	0.489978213507625	0.555748663101604	0.371442524046188	0.235145552385394	0.121213737115193	0.088549217606835	0.0167332323371436
Wdr13	chrX;chrX;chrX;chrX	8123300;8123300;8123300;8123300	8132847;8132858;8132858;8132858	-;-;-;-	9559	0.41000696656051	0.415724563206578	0.292717086834734	0.159072506440927	0.0471929824561403	0.0280895978209282	0.0151515151515152
