Geneid	Halftime	Starts_numeric	Dist_Xist	InitialTPM	Distance_Xist	Expression_group	SilencingRate	SmcHD1_dependence
1110012L19Rik	23.7209214903923	70385912	33097321	26.3018910085291	intermediatedistXist	mediumexpressed	fastsilencing	NA
1810030O07Rik	53.4265077945668	12654883	90828350	86.5987787553551	farfromXist	mediumexpressed	slowsilencing	NA
2010204K13Rik	30.6891482182353	7411816	96071417	76.1355623648188	farfromXist	mediumexpressed	mediumsilencing	NA
2210013O21Rik	33.9910336677659	153723553	50240320	254.687310204747	intermediatedistXist	highexpressed	mediumsilencing	NA
2610002M06Rik	26.878808656483	107782751	4299518	22.3592724915496	neartoXist	lowexpressed	mediumsilencing	NA
2610018G03Rik	20.4405921616021	50841435	52641798	185.439645860404	intermediatedistXist	highexpressed	fastsilencing	NA
2810403D21Rik	30.264752604239	108834477	5351244	31.4583762842796	neartoXist	mediumexpressed	mediumsilencing	NA
2900056M20Rik	32.1152156372661	152294823	48811590	16.7328317002244	intermediatedistXist	lowexpressed	mediumsilencing	NA
3010001F23Rik	NA	152368571	48885338	1.34929498706646	intermediatedistXist	lowexpressed	NA	NA
3110007F17Rik	52.6049410784743	123103558	19620325	2.45965232017324	neartoXist	lowexpressed	slowsilencing	NA
4930519F16Rik	97.4747717228244	103232280	250953	87.7205678233996	neartoXist	mediumexpressed	slowsilencing	NA
4933407K13Rik	32.4117601322013	75725457	27757776	10.1117189492836	neartoXist	lowexpressed	mediumsilencing	NA
5530601H04Rik	86.5243664524146	105040853	1557620	40.6078015266206	neartoXist	mediumexpressed	slowsilencing	NA
5730405O15Rik	74.5868466794757	13042014	90441219	31.9988526033683	farfromXist	mediumexpressed	slowsilencing	NA
6330419J24Rik	23.6206085390368	56374585	47108648	2.2789169575943	intermediatedistXist	lowexpressed	fastsilencing	NA
9530051G07Rik	17.053108023991	153037628	49554395	0.615191699472418	intermediatedistXist	lowexpressed	fastsilencing	NA
A230072C01Rik	40.156665598804	20961675	82521558	32.2240476096792	farfromXist	mediumexpressed	slowsilencing	NA
A830080D01Rik	55.5495074491876	159532667	56049434	1263.2829434669	farfromXist	highexpressed	slowsilencing	NA
Abcb7	25.471881386698	104280564	797331	314.45574662768	neartoXist	highexpressed	mediumsilencing	SmcHD1_partially_dependent
Abcd1	42.8697228843616	73716596	29766637	4.56244997096863	neartoXist	lowexpressed	slowsilencing	SmcHD1_partially_dependent
Acot9	24.6293679333468	155262499	51779266	310.48820450931	intermediatedistXist	highexpressed	mediumsilencing	SmcHD1_partially_dependent
