Geneid	Chr	Start	End	Strand	Length	0h	24h	48h	72h	120h	168h	NPC
Nudt11	chrX	6047506	6054751	+	7246	0.435714285714286	0.446969696969697	0.31469298245614	0.229166666666667	0.0333333333333333	0.0526315789473684	0.0333333333333333
Nudt10	chrX	6168695	6172991	-	4297	0.581277213352685	0.315343915343915	0.229166666666667	0.0625	0	0.0454545454545455	0
Shroom4	chrX	6400144	6633717	+	233574	0.534607838910839	0.374045351444488	0.299154585484683	0.19381758908303	0.0682342560348198	0.0182996207927451	0.0220854946642603
Dgkk	chrX	6873483	6948363	+	74881	0.580357142857143	0.318181818181818	0.261111111111111	0.0754985754985755	0	0.00342465753424658	0.00289855072463768
Clcn5	chrX;chrX	7158411;7158411	7319358;7188714	-;-	160948	0.477309727309727	0.262899645314943	0.199688252589276	0.120600260539613	0.0493040538221261	0.0156983376792699	0.020890605112811
2010204K13Rik	chrX;chrX	7411816;7412103	7422988;7421047	-;-	11173	0.435153155863037	0.192406978814314	0.157375145180023	0.0579613590939374	0.0491803278688525	0.0166666666666667	0.0326086956521739
Ppp1r3f	chrX;chrX	7558561;7558561	7574281;7574281	-;-	15721	0.503387721238938	0.35508166969147	0.248506289308176	0.163644910018802	0.0662020905923345	0.0112359550561798	0.0625
Ccdc22	chrX	7593808	7605420	-	11613	0.526960244648318	0.396028983160622	0.28	0.191282454033078	0.0570105397636538	0.020048309178744	0.0236220472440945
Prickle3	chrX;chrX	7657378;7658532	7668186;7668186	+;+	10809	0.391362126245847	0.273713128976287	0.175324675324675	0.0789473684210526	0	0.025	0.0441176470588235
Plp2	chrX	7668115	7671278	-	3164	0.529757343550447	0.339825190497535	0.282307692307692	0.275007124536905	0.129047619047619	0.102474134053081	0.0567567567567568
Gpkow	chrX	7697133	7710259	+	13127	0.450088351611365	0.277656514554987	0.247432193869363	0.156464056528949	0.0572615606936416	0.016863509070985	0.0383900989324678
Wdr45	chrX;chrX;chrX;chrX	7722219;7722219;7722219;7722926	7728201;7728201;7728201;7728201	+;+;+;+	5983	0.573852480654688	0.344752316464718	0.287648104265403	0.262253896636587	0.115237691001698	0.120401337792642	0.0462855146716348
Praf2	chrX	7728570	7731063	+	2494	0.584181509754029	0.336538461538462	0.26875	0.226190476190476	0.025	0	0
Ccdc120	chrX	7731713	7741324	-	9612	0.526160503540519	0.236161721325698	0.217919799498747	0.207079152731327	0.0480549199084668	0.00934579439252336	0.00561797752808989
Tfe3	chrX;chrX;chrX;chrX;chrX;chrX	7762660;7762660;7762660;7762660;7763942;7764040	7775202;7775202;7775202;7775202;7775202;7775202	+;+;+;+;+;+	12543	0.557142072098476	0.341904761904762	0.330269542651759	0.244377868997175	0.12240025466893	0.0686136523574947	0.0514113328551538
Gripap1	chrX;chrX	7789992;7789992	7820567;7820567	+;+	30576	0.557668177065179	0.337268689859363	0.285688729874776	0.19578313253012	0.076148436902851	0.0217094196804037	0.0354595001772421
Kcnd1	chrX	7823842	7836503	+	12662	0.412618483412322	0.274724377296856	0.299107142857143	0.180194805194805	0.0483870967741935	0.0263157894736842	0.0357142857142857
Otud5	chrX;chrX;chrX	7841830;7841830;7842081	7876626;7876626;7876626	+;+;+	34797	0.519540368015187	0.372048083806134	0.339908804833741	0.246506988340408	0.118647787120022	0.0526408933138473	0.0387682555998116
Pim2	chrX	7878305	7883432	+	5128	0.452380952380952	0.286523553965414	0.233227170678223	0.110186133879781	0.0376431274264092	0.0131718184349763	0.031346920691183
Slc35a2	chrX;chrX	7884243;7884243	7894492;7894027	+;+	10250	0.458221856349043	0.327505330490405	0.309583858764187	0.220541666666667	0.0829606440071556	0.0284640171858217	0.0289855072463768
Pqbp1	chrX;chrX;chrX	7894518;7894518;7894518	7899269;7899000;7899000	-;-;-	4752	0.471509971509972	0.349662162162162	0.294230769230769	0.163273001508296	0.102083333333333	0.03125	0.01
Timm17b	chrX	7899397	7907652	+	8256	0.523156213704994	0.331501831501831	0.346666666666667	0.191756272401434	0.138996138996139	0.0305358550039401	0.0357142857142857
Hdac6	chrX;chrX	7930121;7930121	7947889;7947889	-;-	17769	0.439688398498821	0.292160455205949	0.256922087876765	0.182739949583178	0.0563118167621031	0.0216866793850297	0.0254301332594403
Suv39h1	chrX;chrX	8061170;8061170	8074760;8074313	-;-	13591	0.59453781512605	0.522222664332325	0.495775552131484	0.353571210920836	0.212466473078713	0.100492610837438	0.0485014634950736
Wdr13	chrX;chrX;chrX;chrX	8123300;8123300;8123300;8123300	8132847;8132858;8132858;8132858	-;-;-;-	9559	0.564230769230769	0.436005171299289	0.460520876395205	0.299505205648902	0.0874551971326165	0.0322799864084268	0.0330779054916986
Rbm3	chrX;chrX;chrX;chrX	8138974;8142355;8142355;8142355	8145802;8145802;8145802;8145802	-;-;-;-	6829	0.54164252758531	0.457862114077692	0.404436618167605	0.310222233397217	0.0950873990919915	0.0381614978029676	0.0445882095776164
Tbc1d25	chrX;chrX	8154471;8154471	8176181;8176181	-;-	21711	0.500412670339886	0.307864877776893	0.313941901705793	0.291477272727273	0.124900793650794	0.0707051762940735	0.0993979681424809
Ebp	chrX	8185330	8193512	-	8183	0.356103147628196	0.204140461215933	0.150375939849624	0.105961807172799	0.0402927580893683	0.056966618287373	0.0170454545454545
Porcn	chrX;chrX;chrX;chrX	8193849;8193849;8193849;8193849	8206525;8206525;8206525;8206525	-;-;-;-	12677	0.52088948787062	0.253018575851393	0.271875	0.284496124031008	0.0833333333333333	0.0381578947368421	0
Ftsj1	chrX;chrX	8238667;8238667	8252406;8252406	-;-	13740	0.54227590591227	0.468219768381363	0.350210970464135	0.304166666666667	0.117604617604618	0.091010551948052	0.0222783143107989
Lancl3	chrX	9199972	9268085	+	68114	0.253081726853109	0.167252855305953	0.0896825396825397	0.0356427573358174	0.0211757808335998	0.0122644628099174	0.0119315342328836
Xk	chrX	9272783	9313245	+	40463	0.541092342342342	0.462329778749298	0.327616533017852	0.280766426019106	0.179897822384869	0.153877576671694	0.109549274255157
Dynlt3	chrX	9654269	9662983	-	8715	0.847180667433832	0.771501457725948	0.84507299270073	0.793599170437406	0.753401025236593	0.796244976268551	0.717823413134197
Sytl5	chrX;chrX	9885620;9885620	9998864;9998864	+;+	113245	0.424741739947067	0.238689217758985	0.108689538807649	0.0361739766973708	0.00398406374501992	0.00259067357512953	0.0111833678194896
Rpgr	chrX;chrX;chrX;chrX;chrX;chrX	10158215;10158215;10158215;10160608;10180965;10207000	10216453;10216795;10216795;10216795;10216795;10216795	-;-;-;-;-;-	58581	0.434770028180354	0.382389778970711	0.296141091347603	0.239783459852342	0.0954610172021487	0.0478835959239808	0.0337640528058963
Tspan7	chrX	10485115	10596604	+	111490	0.565840405139486	0.430465346931179	0.271725842112108	0.124854840620927	0.0322722892139657	0.0128544920793176	0.00583786406381552
Bcor	chrX;chrX;chrX;chrX;chrX	12036737;12036737;12036737;12036737;12036737	12160355;12080553;12080553;12080553;12080553	-;-;-;-;-	123619	0.472309299895507	0.284375	0.286383298428502	0.214795769095354	0.0761842596046251	0.0130442493295085	0.0122186375940965
Atp6ap2	chrX	12587758	12617051	+	29294	0.510766499799806	0.419179032774634	0.392562299975573	0.342297841200146	0.16043694013018	0.0842359094076024	0.0702609339337487
1810030O07Rik	chrX	12654883	12673546	-	18664	0.643400081007808	0.493529636977481	0.382080564784053	0.313775510204082	0.158873426754898	0.0599556167737986	0.0347530136001844
Med14	chrX;chrX	12675370;12679743	12761973;12761973	-;-	86604	0.54144894406498	0.358563891709806	0.307514383554414	0.229963030762431	0.0941170798363549	0.035079653490033	0.0211900898051018
Gm14634	chrX	12762277	12821492	+	59216	0.554075235109718	0.319245255685934	0.264454327745467	0.204697085889571	0.0610292872862705	0.0187739463601533	0.0197514080403962
5730405O15Rik	chrX	13042014	13045295	+	3282	0.430295566502463	0.254933527212297	0.223791185280274	0.175360710321865	0.109416445623342	0.0106382978723404	0
Usp9x	chrX	13071497	13173327	+	101831	0.536448559341379	0.370837918725072	0.262041860044107	0.206956766772118	0.116955714138878	0.0516842415946737	0.0304154297590555
Ddx3x	chrX	13281021	13293983	+	12963	0.50680187276294	0.409065026110098	0.361302187442717	0.279710240094132	0.145090151221404	0.0920741116266049	0.102749327011166
Cask	chrX;chrX;chrX;chrX	13517080;13517080;13517080;13517080	13846556;13846556;13846556;13846556	-;-;-;-	329477	0.486489709642141	0.328138045997816	0.214956192372319	0.12361935710077	0.0373439476746857	0.00880995652149211	0.00666205863752871
Maoa	chrX	16619697	16687812	+	68116	0.505111810806973	0.355016555518999	0.253460596557776	0.145177444812584	0.0337794791922212	0.0112806141400264	0.00967214915291469
Efhc2	chrX	17132048	17319368	-	187321	0.887960462278766	0.803846153846154	0.659290460370195	0.502130681818182	0.177015250544662	0.0602167804094741	0.0461538461538462
Fundc1	chrX	17556568	17572297	-	15730	0.619671250537172	0.441448262473306	0.435059760956175	0.277125506072875	0.0992331752598123	0.0382130124777184	0.0194701020904229
Kdm6a	chrX	18162666	18279358	+	116693	0.547763906083585	0.500556388839321	0.474878548755181	0.427042137396781	0.280190899622732	0.146132186537798	0.0819643815536039
Chst7	chrX	20059569	20097520	+	37952	0.413217646853025	0.249494402311304	0.0850585058505851	0.0549273763559478	0.0149410774410774	0.013487910501624	0.00213675213675214
Slc9a7	chrX	20105754	20291764	-	186011	0.449938645822915	0.2231031543052	0.172177019921938	0.10036369789399	0.0230431553539694	0.00942008991249212	0.00636797511797512
Rp2h	chrX;chrX;chrX;chrX;chrX	20364480;20364480;20364480;20364480;20364480	20400858;20405653;20405653;20400858;20400858	+;+;+;+;+	41174	0.538478997509241	0.372749510019903	0.273486793438057	0.162917287798708	0.0555744199207697	0.0125385746132804	0.00488578209597271
Jade3	chrX;chrX	20425687;20425687	20519939;20519939	+;+	94253	0.589932077167619	0.360906535393659	0.237113022087867	0.143458046686016	0.0459547047518559	0.0173201005835451	0.0143215608730477
Ndufb11	chrX	20615325	20617564	-	2240	0.466715820518222	0.35563276167948	0.309805735430157	0.290395392278954	0.0832376578645235	0.00568181818181818	0.00675675675675676
Rbm10	chrX;chrX;chrX	20617502;20617758;20617758	20650905;20650905;20650905	+;+;+	33404	0.480876497442763	0.388947765300507	0.349744408945687	0.243744165046909	0.0888009545076404	0.0280829234197998	0.0115361445783133
Uba1	chrX;chrX;chrX;chrX	20658301;20658301;20658503;20662895	20683179;20683179;20683179;20683179	+;+;+;+	24879	0.558843953603238	0.436386840292287	0.369805722138931	0.262013958125623	0.140626330640354	0.0574942212263449	0.0293363937847321
Cdk16	chrX	20688492	20699877	+	11386	0.54537912726066	0.361664272656046	0.294380665889046	0.28456373723364	0.103940568475452	0.0474126305244095	0.0123386295928501
Usp11	chrX	20703908	20720539	+	16632	0.534327956345882	0.306205781663122	0.239591998860834	0.154050875781395	0.0631174089068826	0.0161116111611161	0.00880913664360647
Araf	chrX;chrX	20848542;20848542	20852905;20860521	+;+	11980	0.523976235513197	0.393036696313395	0.365489047403302	0.257682074248522	0.0922926429266967	0.0333927817149294	0.0102429805267266
Syn1	chrX;chrX	20860510;20860510	20920918;20920918	-;-	60409	0.582909990382057	0.364578651344161	0.269003595274782	0.21024833209785	0.117013888888889	0.071524064171123	0.00909090909090909
Timp1	chrX;chrX	20870165;20870165	20874737;20874737	+;+	4573	0.692828910220215	0.493421052631579	0.358536585365854	0.278061224489796	0.0934782608695652	0.0178571428571429	0.02
Cfp	chrX	20925534	20931524	-	5991	0.360678475085255	0.265891472868217	0.152271984308598	0.113566605279312	0.0491548994437313	0.0245289256198347	0.00342465753424658
Elk1	chrX	20933394	20950608	-	17215	0.529916223763625	0.325146336175748	0.228888074738963	0.155642923219241	0.0847556894243641	0.0290792401843904	0.00816333234782037
Uxt	chrX	20951664	20961978	-	10315	0.511370032646628	0.366031570572194	0.2804298212248	0.234907834101382	0.0912990196078431	0.0261984009882304	0.0180722891566265
A230072C01Rik	chrX;chrX	20961675;20962113	20987349;20987349	+;+	25675	0.506158913910023	0.27316897307191	0.232341219749702	0.157635351820411	0.0617718886201376	0.0234354531245765	0.0103448275862069
Zfp182	chrX;chrX	21026183;21026183	21062038;21062038	-;-	35856	0.539607788945942	0.418814539742214	0.330621920029942	0.212432769352989	0.0988064773956087	0.0345915237696919	0.00890885756614502
Zfp300	chrX	21079149	21089229	-	10081	0.473692403486924	0.233333333333333	0.178205128205128	0.0560125342734038	0	0.0227272727272727	0
Gm6938	chrX	21312209	21334727	-	22519	0.739145658263305	0.565332087604078	0.360655737704918	0.211925287356322	0.092902711323764	0.0606382978723404	0.175
Klhl13	chrX;chrX	23219270;23219270	23285428;23365082	-;-	145813	0.322861131018247	0.221325911420926	0.130682692749059	0.0843007526518875	0.0356784130660442	0.0155805347675447	0.00570260337765808
Wdr44	chrX	23693116	23806001	+	112886	0.540189125295508	0.449621212121212	0.470588235294118	0.397988505747126	0.226190476190476	0.206349206349206	0.229166666666667
Dock11	chrX	35888831	36076562	+	187732	0.561316522642489	0.372148617511521	0.305609661082976	0.152451970379576	0.0523977096504831	0.0628633720930233	0.0313592657342657
Il13ra1	chrX	36112138	36171261	+	59124	0.543801391524352	0.312579821200511	0.120689655172414	0.0801282051282051	0.0969230769230769	0	0.0288461538461538
Pgrmc1	chrX	36598224	36606079	+	7856	0.420807453416149	0.237508254457407	0.231237322515213	0.1	0.0895833333333333	0.0278571428571429	0.00819672131147541
Akap17b	chrX	36608182	36645414	-	37233	0.517763815853147	0.305995023171929	0.138658940397351	0.132054455445545	0.034507862550961	0.0040650406504065	0
Slc25a5	chrX	36795651	36798806	+	3156	0.370303645531212	0.438226674844953	0.449945887445887	0.464891041162228	0.424628586065574	0.468845785440613	0.401602863869449
Upf3b	chrX	37091833	37110322	-	18490	0.527261493669172	0.362053459180318	0.298408454290807	0.186247723132969	0.0742519323486646	0.0430152607747778	0.0164055176108209
Nkap	chrX	37126762	37150746	+	23985	0.514706472855766	0.463042808746535	0.365705687123812	0.294836539596365	0.137750653879686	0.0775177269797193	0.0227854293670505
Zbtb33	chrX;chrX	38189792;38189792	38197046;38197046	+;+	7255	0.49047619047619	0.422101449275362	0.34331797235023	0.0555555555555556	0.0238095238095238	0.0208333333333333	0
Lamp2	chrX;chrX;chrX	38401356;38405048;38419502	38456460;38456460;38456460	-;-;-	55105	0.500691632928475	0.273828664740611	0.198713033953998	0.143477702301232	0.0641963972649097	0.0289891530405111	0.0101592143514729
Cul4b	chrX;chrX	38531620;38531620	38576196;38576196	-;-	44577	0.495648654118599	0.18778801843318	0.106315789473684	0.185007974481659	0.1	0.0128205128205128	0.0161290322580645
Mcts1	chrX	38600657	38613522	+	12866	0.24718045112782	0.253571428571429	0.211111111111111	0.0434782608695652	0.0172413793103448	0	0
Gria3	chrX;chrX;chrX;chrX	41401300;41401300;41401300;41401528	41678601;41678601;41678601;41672466	+;+;+;+	277302	0.519777265745008	0.236621769202767	0.167832167832168	0.0638826746209297	0.0398454746136865	0.0214148527528809	0.0165091745412729
Thoc2	chrX	41794993	41911901	-	116909	0.512414467253177	0.316346153846154	0.234297017650639	0.146670934699104	0.0727652335292298	0.0351973277248546	0.00546448087431694
Xiap	chrX	42067835	42109664	+	41830	0.527958783910178	0.267830882352941	0.19952159968465	0.102024220685478	0.0343086354778601	0.0119380171239325	0.00260439362511838
Stag2	chrX;chrX;chrX	42149411;42150700;42201854	42277186;42277186;42277186	+;+;+	127776	0.502929829543487	0.258854862419165	0.172194378404621	0.114050757921863	0.0358039910178948	0.0135687774493722	0.0169804016888577
Tenm1	chrX	42532392	43274784	-	742393	0.45982905982906	0.21588693957115	0.388235294117647	0.107954545454545	0.0235294117647059	0.04	0.0283068783068783
Smarca1	chrX;chrX	47809369;47809369	47892552;47892552	-;-	83184	0.460606060606061	0.102570564516129	0.0281967213114754	0.0169491525423729	0.0144927536231884	0	0
Ocrl	chrX	47912455	47965866	+	53412	0.446065399213423	0.219372944722831	0.125336204133395	0.082681168047956	0.0258862112727269	0.0145945140131187	0.00558045752453131
Xpnpep2	chrX;chrX	48108724;48108724	48136981;48136981	+;+	28258	0.527591780189333	0.214965986394558	0.25	0.216374269005848	0.141774891774892	0.0277777777777778	0.03125
Zdhhc9	chrX	48171970	48208702	-	36733	0.644832597070449	0.428886558119402	0.344503786369071	0.228885281385281	0.0866019287136688	0.0355076484108742	0.0110760772899992
Utp14a	chrX	48256933	48282449	+	25517	0.617766230287998	0.505651384535871	0.444663508877079	0.381839343884228	0.226870027672086	0.139635942252909	0.127079158316633
Bcorl1	chrX	48341357	48406728	+	65372	0.631192952182008	0.348572961476187	0.314655172413793	0.154759884608858	0.0505430242272348	0.0142045454545455	0
Elf4	chrX	48411048	48463132	-	52085	0.559335963182117	0.251054881364566	0.158750983993702	0.122899159663866	0.0657051282051282	0.010752688172043	0
Aifm1	chrX;chrX	48474943;48474943	48513563;48513563	-;-	38621	0.542467397976997	0.290257751450052	0.168115067718863	0.0920947227882791	0.0224645186574476	0.0152363272477101	0.00424934458208566
Zfp280c	chrX;chrX;chrX;chrX	48541625;48541625;48541625;48541625	48594452;48594373;48592133;48591761	-;-;-;-	52828	0.582497287718093	0.270295418418408	0.128231748245538	0.0423152212661923	0.0112753821278745	0.00444176060118089	0.00484112629747528
Slc25a14	chrX;chrX;chrX;chrX;chrX	48623577;48623577;48623577;48623673;48623673	48662298;48662298;48662298;48662298;48662298	+;+;+;+;+	38722	0.514131912002039	0.310006825420901	0.146485093853515	0.0963849487785658	0.042483023827488	0.00541059730783051	0.0102228280194382
Rbmx2	chrX	48695003	48710719	+	15717	0.688420908217863	0.492718446601942	0.500378931413414	0.376969696969697	0.168284936479129	0.214375688867895	0.128219118288957
Enox2	chrX;chrX;chrX;chrX;chrX;chrX	49009706;49009706;49009706;49009706;49009706;49009706	49288242;49288242;49288242;49288242;49288242;49288242	-;-;-;-;-;-	278537	0.524452015395677	0.304343549159555	0.202893100722988	0.115402011327016	0.0339334818279232	0.0093476397049573	0.004876392520085
Igsf1	chrX;chrX;chrX;chrX	49782536;49782536;49786348;49792966	49788243;49797745;49795364;49797745	-;-;-;-	15210	0.387132352941176	0.0876923076923077	0.0434173669467787	0.00892857142857143	0	0	0
Firre	chrX;chrX	50555743;50563119	50635258;50635258	-;-	79516	0.636647023645789	0.24791107216094	0.159968673432099	0.11758623077193	0.0972510849496635	0.0952652053615776	0.0915198849121514
2610018G03Rik	chrX	50841435	50891850	+	50416	0.489006243367964	0.148832159845376	0.0659340659340659	0.060132490213791	0.0427020958083832	0.0447984071677451	0.0715994531784006
Mbnl3	chrX	51113493	51205832	-	92340	0.618037135278515	0.1125	0.199436763952893	0.180715197956577	0.160676532769556	0.133928571428571	0.110119047619048
Hs6st2	chrX;chrX;chrX;chrX	51386636;51386636;51386636;51386636	51681602;51680477;51681602;51680477	-;-;-;-	294967	0.505994380059743	0.223250558759246	0.0864173012213159	0.0404887186646144	0.0165062149610677	0.00861763402747009	0.00555503637461541
Gpc4	chrX	52053017	52164923	-	111907	0.450790596897034	0.138113769391708	0.087299305956907	0.0495659371719293	0.0205029157226164	0.00491850345080676	0.00223688811188811
Gpc3	chrX	52272426	52613974	-	341549	0.500617043192705	0.180504020867209	0.0495702207610108	0.0220831083336881	0.00723040126387524	0.00316236705654879	0.00266868865004681
Kis2	chrX	52742562	52744593	-	2032	0.364284347493303	0.0784094439266853	0.0611672278338945	0.0294938793041735	0	0	0
Phf6	chrX;chrX	52912213;52912213	52956961;52956961	+;+	44749	0.458099982652129	0.200197332856429	0.117105263157895	0.0411682753736973	0.015995146300433	0.00544850301763244	0.00366219129962945
Hprt	chrX	52988077	53021660	+	33584	0.572580528131031	0.371749470996625	0.2293071509669	0.156520317192872	0.0424322398963458	0.0141191489361702	0.00890692823721743
C430049B03Rik	chrX;chrX	53053111;53053111	53057190;53057190	-;-	4080	0.772394581603671	0.54048463356974	0.3	0.0851449275362319	0.0573770491803279	0.0284057971014493	0
Fam122b	chrX;chrX;chrX	53243414;53243414;53243414	53269805;53269805;53269805	-;-;-	26392	0.550089862589863	0.238945741428709	0.0930039738512002	0.0671480144404332	0.0246449456975773	0.014124406495631	0
Mospd1	chrX;chrX;chrX	53344593;53344593;53344593	53370559;53370559;53370559	-;-;-	25967	0.549131911076943	0.234762703571678	0.165469279843669	0.135212348626983	0.138923917612442	0.0565246058862315	0.0542685991957105
Zfp449	chrX	56346399	56365674	+	19276	0.549940262843489	0.4058572581575	0.1875	0.176813800101471	0.0523809523809524	0.0307881773399015	0.0118775406504065
6330419J24Rik	chrX	56374585	56378470	+	3886	0.602585487906589	0.373913043478261	0.255514705882353	0.119634340222576	0.137890341321714	0.154385964912281	0.0876742479823918
Ddx26b	chrX	56454838	56507843	+	53006	0.499139908256881	0.278514138261684	0.15187326375854	0.0897477669347405	0.0172248518017044	0.00738426763110307	0.00189843678268525
Mmgt1	chrX	56585511	56597919	-	12409	0.495889675993707	0.372705497443473	0.310586312479311	0.181917441532826	0.0938417366817893	0.0438066563066563	0.0110530938902987
Slc9a6	chrX	56609834	56664230	+	54397	0.523710326511166	0.279687921171643	0.204582162921348	0.141759235339705	0.0557170542635659	0.0163000536506853	0.00584962342388085
Fhl1	chrX;chrX;chrX;chrX	56731760;56731956;56779682;56786526	56793346;56793346;56793346;56793346	+;+;+;+	61587	0.537298649746348	0.2125636308982	0.0703735504324369	0.0321601206070414	0.0134141556811048	0.00490679112432926	0.00261780104712042
Mtap7d3	chrX	56797952	56822325	-	24374	0.323940795955961	0.0577366964332341	0.0312279884913387	0.0145446025789583	0.00498015920541011	0.00198412698412698	0
Htatsf1	chrX;chrX	57053569;57053833	57067182;57067182	+;+	13614	0.588360778075628	0.380399412113801	0.280085959885387	0.176725521669342	0.0868525617986502	0.0249887082204155	0.015642520460092
Arhgef6	chrX	57231484	57338729	-	107246	0.439186991869919	0.161764705882353	0.0599613152804642	0.0826497128794094	0.0231914157147802	0	0.0136986301369863
Rbmx	chrX;chrX;chrX	57383347;57386029;57386029	57393036;57393036;57393036	-;-;-	9690	0.514803671081826	0.235523952095808	0.137771065146654	0.06637411081054	0.0251464280452447	0.00745959042782701	0.0145469420714863
Gm364	chrX	57409148	57488771	+	79624	0.466111642597907	0.18853928662097	0.0762706674831598	0.0263126014585807	0.00303030303030303	0	0.0126225877886745
Zic3	chrX	58030627	58036630	+	6004	0.52952178498451	0.212883169462117	0.154457831325301	0.0736032117765139	0.0306755260243632	0.019047619047619	0
Fgf13	chrX;chrX;chrX	59062145;59062145;59062145	59166088;59585572;59134436	-;-;-	523428	0.514045658288665	0.183879917759085	0.0895323027414025	0.0446623671343123	0.0211981566820277	0.00748788838217205	0.00677349386228251
Mcf2	chrX;chrX;chrX	60055955;60055955;60055955	60147700;60179089;60147700	-;-;-	123135	0.477861324050897	0.173601569143492	0.143986039869508	0.101867177482353	0.0686634104497203	0.052901170183886	0.0258476786645801
Atp11c	chrX;chrX	60223289;60223289	60403981;60403981	-;-	180693	0.503892035472017	0.287743684050912	0.188801863319235	0.0941983170001054	0.0366613749806811	0.0121640333677023	0.00464801487816256
Fmr1	chrX;chrX	68678540;68678540	68717961;68717961	+;+	39422	0.490710652125832	0.325449116619886	0.23004695192655	0.172608562983882	0.0660591338450169	0.0235808121257038	0.0110664768940428
