closestGene	Chr	Start	End	per_v_dep	peak_halftime	Peakid	distTSS	CTCFsite	dist_prom	gene_halftime	gene_cat	gene_initialTPM	peak_duplicated
Slc25a5	chrX	36763526	36764135	persistent_peak	6.43442503873471	peak_641	31516	nonCTCF	distal	NA	NA	3694.29674217854	FALSE
Slc25a5	chrX	36794597	36796832	persistent_peak	12.1515030637685	peak_646	0	CTCF	prom	NA	NA	3694.29674217854	FALSE
Slc25a5	chrX	36816402	36817734	persistent_peak	NA	peak_652	20752	nonCTCF	distal	NA	NA	3694.29674217854	FALSE
Vbp1	chrX	75475209	75475639	persistent_peak	NA	peak_1435	38657	nonCTCF	distal	2.05204310643012	slowsilencing	3376.04674309207	FALSE
Vbp1	chrX	75513943	75514922	persistent_peak	10.9766942465825	peak_1437	0	nonCTCF	prom	2.05204310643012	slowsilencing	3376.04674309207	FALSE
Rps4x	chrX	102178265	102178901	persistent_peak	10.468663078557	peak_1963	9470	nonCTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Rps4x	chrX	102181817	102184420	depleted_peak	2.37950946485699	peak_1965	3951	nonCTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Rps4x	chrX	102188989	102189836	depleted_peak	5.13819221922841	peak_1967	619	CTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Rps4x	chrX	102193035	102193545	depleted_peak	0.735148500569709	peak_1968	4665	nonCTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Rps4x	chrX	102214603	102215835	persistent_peak	10.9730547656062	peak_1972	26233	CTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Rps4x	chrX	102250512	102252475	depleted_peak	2.0341381032445	peak_1975	62142	nonCTCF	distal	1.74403844842668	mediumsilencing	2400.60141085057	FALSE
Dkc1	chrX	75095317	75096691	persistent_peak	6.23412131857635	peak_1416	0	nonCTCF	prom	2.19334826078119	slowsilencing	2128.72885926661	FALSE
Dkc1	chrX	75103213	75104420	depleted_peak	5.21191654571397	peak_1417	7361	nonCTCF	distal	2.19334826078119	slowsilencing	2128.72885926661	FALSE
Dkc1	chrX	75110596	75111808	persistent_peak	7.78120117746112	peak_1422	14744	nonCTCF	distal	2.19334826078119	slowsilencing	2128.72885926661	FALSE
Klhl13	chrX	22453339	22453635	persistent_peak	10.3318042432178	peak_519	831793	nonCTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Klhl13	chrX	22848782	22849236	depleted_peak	3.11867701808762	peak_524	436192	nonCTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Klhl13	chrX	23095942	23096192	persistent_peak	10.6322163524687	peak_526	189236	nonCTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Klhl13	chrX	23296105	23296560	depleted_peak	3.74745138987254	peak_527	10678	CTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Klhl13	chrX	23318756	23319341	persistent_peak	6.92660047156407	peak_528	33329	nonCTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Klhl13	chrX	23360181	23360782	depleted_peak	0.635299945339928	peak_530	4300	CTCF	distal	1.57821439601676	mediumsilencing	2115.98659325376	FALSE
Hprt	chrX	52961467	52962273	depleted_peak	1.51058360091956	peak_1009	25804	nonCTCF	distal	1.51514877057003	mediumsilencing	1766.35491600521	FALSE
Hprt	chrX	52987680	52988820	persistent_peak	5.91479722700139	peak_1010	0	nonCTCF	prom	1.51514877057003	mediumsilencing	1766.35491600521	FALSE
Ddx3x	chrX	13199621	13199936	depleted_peak	1.1139533042307	peak_326	81085	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13206267	13208605	persistent_peak	7.02259574569757	peak_328	72416	CTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13214232	13214536	persistent_peak	NA	peak_330	66485	CTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13225024	13225350	persistent_peak	NA	peak_331	55671	CTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13230055	13231664	persistent_peak	7.05526524674389	peak_332	49357	CTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13240712	13242091	persistent_peak	7.88029470121756	peak_334	38930	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13242343	13243771	depleted_peak	4.55326312457618	peak_335	37250	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13280008	13282414	persistent_peak	NA	peak_337	0	nonCTCF	prom	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13293742	13298087	persistent_peak	12.9020014408872	peak_341	12722	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13344542	13345382	persistent_peak	8.11279330675238	peak_342	63522	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13345626	13348025	depleted_peak	4.70171345745984	peak_343	64606	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13386326	13386897	persistent_peak	1.45316249708005	peak_344	105306	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13416093	13417055	persistent_peak	12.842274749139	peak_345	135073	nonCTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Ddx3x	chrX	13461172	13462364	persistent_peak	7.89510241765661	peak_347	180152	CTCF	distal	2.96420923755928	slowsilencing	1011.3618043029	FALSE
Nono	chrX	101428890	101430460	depleted_peak	1.58471077129967	peak_1903	0	nonCTCF	prom	2.02607493209122	slowsilencing	767.121081040777	FALSE
Mcts1	chrX	39205423	39206231	depleted_peak	3.56508295246058	peak_733	604767	nonCTCF	distal	1.97412169091457	slowsilencing	711.338510661556	FALSE
Mcts1	chrX	39721018	39721736	depleted_peak	2.63343165980039	peak_737	1120362	nonCTCF	distal	1.97412169091457	slowsilencing	711.338510661556	FALSE
Mcts1	chrX	39899744	39900440	persistent_peak	NA	peak_739	1299088	nonCTCF	distal	1.97412169091457	slowsilencing	711.338510661556	FALSE
Fmr1	chrX	64935337	64936224	persistent_peak	NA	peak_1185	3742316	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
