Geneid	Chr	Start	End	Strand	Length	A11B2_ES_d10r1	A11B2_ES_d10r2	A11B2_ES_d1r3	A11B2_ES_d1r4
Nudt11	chrX	6047506	6054751	+	7246	0.148148148148148	0.176470588235294	0.117647058823529	0.2
Nudt10	chrX	6168695	6172991	-	4297	0.0857142857142857	0.16	0.1	0.125
Shroom4	chrX	6400144	6633717	+	233574	0.201081081081081	0.176417641764176	0.194600674915636	0.263833992094862
Dgkk	chrX	6873483	6948363	+	74881	0.0222222222222222	0.15	0.125	0.136363636363636
Clcn5	chrX;chrX	7158411;7158411	7319358;7188714	-;-	160948	0.126315789473684	0.144927536231884	0.14052583862194	0.156429156429156
2010204K13Rik	chrX;chrX	7411816;7412103	7422988;7421047	-;-	11173	0.106382978723404	0.0810810810810811	0.0454545454545455	0.0925925925925926
Ppp1r3f	chrX;chrX	7558561;7558561	7574281;7574281	-;-	15721	0.0919540229885057	0.16504854368932	0.138888888888889	0.283783783783784
Ccdc22	chrX	7593808	7605420	-	11613	0.130841121495327	0.170068027210884	0.165354330708661	0.21978021978022
Prickle3	chrX;chrX	7657378;7658532	7668186;7668186	+;+	10809	0	0.125	0.125	0.173913043478261
Plp2	chrX	7668115	7671278	-	3164	0.25	0.189349112426035	0.225433526011561	0.215596330275229
Gpkow	chrX	7697133	7710259	+	13127	0.182692307692308	0.183673469387755	0.225	0.131736526946108
Wdr45	chrX;chrX;chrX;chrX	7722219;7722219;7722219;7722926	7728201;7728201;7728201;7728201	+;+;+;+	5983	0.245674740484429	0.177914110429448	0.194139194139194	0.227272727272727
Praf2	chrX	7728570	7731063	+	2494	0.411764705882353	0.2	0.136363636363636	0.2
Ccdc120	chrX	7731713	7741324	-	9612	0.0892857142857143	0.179487179487179	0.145833333333333	0.254901960784314
Tfe3	chrX;chrX;chrX;chrX;chrX;chrX	7762660;7762660;7762660;7762660;7763942;7764040	7775202;7775202;7775202;7775202;7775202;7775202	+;+;+;+;+;+	12543	0.274691358024691	0.221884498480243	0.291666666666667	0.268072289156627
Gripap1	chrX;chrX	7789992;7789992	7820567;7820567	+;+	30576	0.205882352941176	0.190789473684211	0.246835443037975	0.205128205128205
Kcnd1	chrX	7823842	7836503	+	12662	0.16	0.0952380952380952	0.151515151515152	0.130434782608696
Otud5	chrX;chrX;chrX	7841830;7841830;7842081	7876626;7876626;7876626	+;+;+	34797	0.252032520325203	0.258503401360544	0.243835616438356	0.326829268292683
Pim2	chrX	7878305	7883432	+	5128	0.25	0.154929577464789	0.214285714285714	0.229166666666667
Slc35a2	chrX;chrX	7884243;7884243	7894492;7894027	+;+	10250	0.259259259259259	0.277777777777778	0.181818181818182	0.342857142857143
