Geneid	Chr	Start	End	Strand	Length	A11B2_ES_d0r1	A11B2_ES_d0r2	A11B2_ES_d1r1	A11B2_ES_d1r2	A11B2_d2r1	A11B2_d2r2	A11B2_d3r1	A11B2_d3r2	A11B2_d5r1	A11B2_d5r2	A11B2_d7r1	A11B2_d7r2	A11B2_d15	A11B2_d21	A11B2_d35	A11B2_d52
Xkr4	chr1	3214481	3671498	-	457018	0.505576208178439	0.544270833333333	0.480842911877395	0.570652173913043	0.545565006075334	0.49789029535865	0.554618897084651	0.535591998558299	0.567965415344205	0.553178430512933	0.593197482768954	0.568925649235148	0.565511748307447	0.587217043941411	0.551116333725029	0.436559750212887
Mrpl15	chr1;chr1;chr1	4773199;4773199;4773199	4785726;4785726;4785726	-;-;-	12528	0.522595596755504	0.528216704288939	0.530895334174023	0.505428226779252	0.468713105076741	0.515695067264574	0.451515151515152	0.469879518072289	0.490671641791045	0.482849604221636	0.481382978723404	0.436666666666667	0.429319371727749	0.482993197278912	0.572953736654804	0.570754716981132
Lypla1	chr1	4807892	4846735	+	38844	0.475170399221032	0.512059369202226	0.468961625282167	0.543737574552684	0.527239150507849	0.450097847358121	0.510416666666667	0.514896867838044	0.503237742830712	0.515972894482091	0.501835985312117	0.491898148148148	0.540650406504065	0.483827493261456	0.510848126232742	0.525798525798526
Tcea1	chr1;chr1;chr1	4857693;4857693;4858327	4897909;4897909;4897909	+;+;+	40217	0.539742381401194	0.542032622333752	0.567433468651331	0.504971590909091	0.530239099859353	0.534666666666667	0.525612472160356	0.534603811434303	0.505494505494505	0.537378114842904	0.490697674418605	0.493455497382199	0.534883720930233	0.501460564751704	0.508940852819807	0.512925170068027
Rgs20	chr1;chr1;chr1	4909575;4909575;4909575	5018734;5070285;5019539	-;-;-	160711	0.278225806451613	0.352380952380952	0.344155844155844	0.33457249070632	0.400862068965517	0.369393139841689	0.416	0.393989983305509	0.493055555555556	0.460144927536232	0.591304347826087	0.511591962905719	0.555555555555556	0.559405940594059	0.589041095890411	0.563380281690141
Atp6v1h	chr1	5083172	5162549	+	79378	0.522332174378176	0.494811932555123	0.511370814908402	0.481756996103436	0.502398081534772	0.48963963963964	0.494596841230258	0.471898560657985	0.492857142857143	0.493533583646224	0.490260933480338	0.477674810446504	0.502775343266141	0.518302828618968	0.522480620155039	0.493907392363932
Rb1cc1	chr1	6214661	6276104	+	61444	0.50550487574709	0.487733071638862	0.526948429623885	0.493766937669377	0.505712567648827	0.480151228733459	0.510845986984816	0.484076433121019	0.494315105576611	0.502702702702703	0.485579196217494	0.510682865521575	0.481467615125421	0.493076162215628	0.52422233554309	0.484480431848853
St18	chr1;chr1;chr1;chr1;chr1	6487230;6487230;6730050;6730050;6730050	6860940;6860940;6860940;6860940;6860940	+;+;+;+;+	373711	0.5	0.384615384615385	0.518796992481203	0.5	0.501035196687371	0.494736842105263	0.481561822125813	0.399280575539568	0.57843137254902	0.418918918918919	0.553571428571429	0.5	0.539563862928349	0.577889447236181	0.586206896551724	0.511811023622047
Pcmtd1	chr1	7088919	7173628	+	84710	0.485253027010245	0.493766805182107	0.497730711043873	0.497489730716568	0.492363232435435	0.496255956432948	0.504472013848817	0.48170619599191	0.513397642015005	0.475797579757976	0.527571794526089	0.492568178880703	0.523335621139327	0.501698946653075	0.488016776512882	0.502994011976048
Sntg1	chr1;chr1;chr1;chr1	8359738;8359738;8359738;8359738	9299877;9299877;9299877;9299877	-;-;-;-	940140	0.590604026845638	0.6	0.654761904761905	0.582089552238806	0.555555555555556	0.581818181818182	0.542483660130719	0.60377358490566	0.67381974248927	0.625954198473282	0.789473684210526	0.659090909090909	0.565315315315315	0.708571428571429	0.647058823529412	0.712374581939799
Rrs1	chr1	9545407	9547455	+	2049	0.123076923076923	0.1	0.0642201834862385	0.295238095238095	0.276923076923077	0.175675675675676	0.236994219653179	0.2265625	0.221556886227545	0.176923076923077	0.263736263736264	0.271844660194175	0.333333333333333	0.186666666666667	0.254545454545455	0.333333333333333
Adhfe1	chr1;chr1	9548045;9548045	9577968;9577968	+;+	29924	0.45518453427065	0.463855421686747	0.508379888268156	0.461883408071749	0.478672985781991	0.469387755102041	0.494736842105263	0.529801324503311	0.527272727272727	0.485714285714286	0.627118644067797	0.544502617801047	0.388888888888889	0.424242424242424	0.51219512195122	0.3125
Mybl1	chr1;chr1	9667410;9667410	9700209;9700209	-;-	32800	0.503932584269663	0.483204134366925	0.492616656822209	0.501422475106686	0.491686460807601	0.499482936918304	0.529786003470214	0.500404858299595	0.514415781487102	0.49581589958159	0.530120481927711	0.535714285714286	0.514818880351262	0.509020618556701	0.512915129151292	0.465116279069767
Vcpip1	chr1	9723195	9748382	-	25188	0.518617021276596	0.548872180451128	0.498349834983498	0.505791505791506	0.4625	0.5	0.497737556561086	0.475524475524476	0.465608465608466	0.516778523489933	0.492822966507177	0.534391534391534	0.536144578313253	0.521052631578947	0.517857142857143	0.50996015936255
