Geneid	Halftime	Starts_numeric	Dist_Xist	InitialTPM	Distance_Xist	Expression_group	SilencingRate	SmcHD1_dependence
1110012L19Rik	26.9229359611513	70385912	33097321	26.3018910085291	intermediatedistXist	mediumexpressed	fastsilencing	NA
1810030O07Rik	60.7367294914538	12654883	90828350	86.5987787553551	farfromXist	mediumexpressed	slowsilencing	NA
2010204K13Rik	27.5281436368913	7411816	96071417	76.1355623648188	farfromXist	mediumexpressed	fastsilencing	NA
2610018G03Rik	15.9932551501548	50841435	52641798	185.439645860404	intermediatedistXist	highexpressed	fastsilencing	NA
4930519F16Rik	63.3447268719842	103232280	250953	87.7205678233996	neartoXist	mediumexpressed	slowsilencing	NA
4933407K13Rik	44.4391509659299	75725457	27757776	10.1117189492836	neartoXist	lowexpressed	slowsilencing	NA
5730405O15Rik	51.7431522188948	13042014	90441219	31.9988526033683	farfromXist	mediumexpressed	slowsilencing	NA
6330419J24Rik	44.7540913408398	56374585	47108648	2.2789169575943	intermediatedistXist	lowexpressed	slowsilencing	NA
A230072C01Rik	39.9776160491579	20961675	82521558	32.2240476096792	farfromXist	mediumexpressed	mediumsilencing	NA
Abcd1	40.9530370277525	73716596	29766637	4.56244997096863	neartoXist	lowexpressed	mediumsilencing	SmcHD1_partially_dependent
Aff2	36.5614445928622	69360330	34122903	7.49441226654912	intermediatedistXist	lowexpressed	mediumsilencing	SmcHD1_not_dependent
Aifm1	27.7892220298291	48474943	55008290	234.124000408382	farfromXist	highexpressed	mediumsilencing	SmcHD1_partially_dependent
Akap17b	30.2881929115603	36608182	66875051	55.1442731590519	farfromXist	mediumexpressed	mediumsilencing	SmcHD1_not_dependent
Amer1	25.81644314653	95420313	8062920	19.0418484904214	neartoXist	lowexpressed	fastsilencing	SmcHD1_not_dependent
Apoo	43.1100848100671	94367109	9116124	57.0142224907676	neartoXist	mediumexpressed	mediumsilencing	SmcHD1_partially_dependent
Ar	11.9199182177818	98149749	5333484	2.65168633878725	neartoXist	lowexpressed	fastsilencing	SmcHD1_not_dependent
Araf	58.8821026348428	20848542	82634691	138.61501508312	farfromXist	highexpressed	slowsilencing	SmcHD1_partially_dependent
Arhgap4	28.9178129240956	73894351	29588882	3.75735248393307	neartoXist	lowexpressed	mediumsilencing	SmcHD1_dependent
Arhgef6	18.8467360927189	57231484	46251749	8.88652549481469	intermediatedistXist	lowexpressed	fastsilencing	NA
Arhgef9	14.3862521886264	95048934	8434299	4.19950874050411	neartoXist	lowexpressed	fastsilencing	SmcHD1_not_dependent
Atp11c	31.4738306975628	60223289	43259944	180.329024307111	intermediatedistXist	highexpressed	mediumsilencing	SmcHD1_partially_dependent
Atp6ap1	32.9048772849803	74297096	29186137	95.725308570214	neartoXist	mediumexpressed	mediumsilencing	SmcHD1_dependent
Atp6ap2	83.8692726640811	12587758	90895475	434.392168687738	farfromXist	highexpressed	slowsilencing	SmcHD1_partially_dependent
Awat2	21.4782467868737	100402221	3081012	3.77273461089564	neartoXist	lowexpressed	fastsilencing	SmcHD1_not_dependent
BC023829	21.2213814873421	70460055	33023178	22.1038352582113	intermediatedistXist	lowexpressed	fastsilencing	NA
Bcap31	41.8994252796223	73686182	29797051	308.676235817985	neartoXist	highexpressed	mediumsilencing	SmcHD1_partially_dependent
Bcor	52.575646885517	12036737	91446496	6.6129409271615	farfromXist	lowexpressed	slowsilencing	SmcHD1_not_dependent
Bcorl1	37.2382016723687	48341357	55141876	2.78670719777808	farfromXist	lowexpressed	mediumsilencing	SmcHD1_not_dependent
Brcc3	51.5726370572142	75416627	28066606	189.202083576906	neartoXist	highexpressed	slowsilencing	SmcHD1_partially_dependent
C430049B03Rik	31.9390551686189	53053111	50430122	8.35983592262403	intermediatedistXist	lowexpressed	mediumsilencing	NA
Cask	37.2811619099303	13517080	89966153	52.490065622325	farfromXist	mediumexpressed	mediumsilencing	SmcHD1_not_dependent
